Class Name - Live Objects,Live Bytes11,Live Bytes12,Live Objects1,size1,Live Bytes21,Live Bytes22,Live Objects2,size2,Live Bytes31,Live Bytes32,Live Objects3,size3
com.intellij.openapi.extensions.impl.ExtensionComponentAdapter,0.22%,497400,12435,40,0.47%,651792,13579,48,0.25%,506480,12662,40
com.intellij.openapi.util.IconLoader$CachedImageIcon,0.04%,83184,1733,48,0.06%,86464,1544,56,0.04%,84480,1760,48
com.intellij.psi.impl.java.stubs.impl.PsiMethodStubImpl,0.01%,32144,574,56,0.00%,720,15,48,0.41%,844368,15078,56
com.intellij.psi.impl.java.stubs.impl.PsiClassReferenceListStubImpl,0.01%,30192,629,48,0.00%,160,4,40,0.42%,862800,17975,48
com.intellij.psi.impl.java.stubs.impl.PsiTypeParameterListStubImpl,0.01%,24040,601,40,0.00%,128,4,32,0.32%,654240,16356,40
com.intellij.ui.SimpleColoredComponent,0.01%,23664,58,408,0.02%,30576,78,392,0.01%,14688,36,408
com.intellij.psi.impl.java.stubs.impl.PsiParameterListStubImpl,0.01%,22960,574,40,0.00%,32,1,32,0.29%,603120,15078,40
com.intellij.semantic.SemKey[],0.01%,20896,875,23,0.00%,256,12,21,0.01%,21736,910,23
com.intellij.util.KeyedLazyInstanceEP[],0.01%,19016,217,87,0.00%,192,3,64,0.01%,15200,174,87
com.intellij.openapi.util.LowMemoryWatcher,0.01%,11968,748,16,0.01%,20016,834,24,0.01%,11936,746,16
com.intellij.openapi.wm.impl.StripeButton,0.00%,10752,21,512,0.01%,11592,23,504,0.01%,11264,22,512
com.intellij.psi.codeStyle.CommonCodeStyleSettings,0.00%,8640,24,360,0.01%,9200,25,368,0.00%,8640,24,360
com.intellij.openapi.wm.impl.InternalDecorator$1,0.00%,8400,21,400,0.01%,9016,23,392,0.00%,8800,22,400
com.intellij.openapi.wm.impl.ToolWindowHeader$3,0.00%,8232,21,392,0.00%,552,23,24,0.00%,8624,22,392
com.intellij.openapi.wm.impl.ToolWindowHeader$6,0.00%,8232,21,392,0.00%,368,23,16,0.00%,8624,22,392
com.intellij.openapi.wm.impl.content.ToolWindowContentUi,0.00%,8064,21,384,0.01%,9016,23,392,0.00%,8448,22,384
com.intellij.openapi.wm.impl.ToolWindowHeader$1,0.00%,7392,21,352,0.01%,8280,23,360,0.00%,7744,22,352
com.intellij.openapi.ui.ShadowAction,0.00%,5936,106,56,0.00%,5376,112,48,0.00%,5656,101,56
com.intellij.psi.impl.java.stubs.impl.PsiFieldStubImpl,0.00%,5768,103,56,0.00%,48,1,48,0.16%,324632,5797,56
com.intellij.util.containers.ConcurrentFactoryMap$4,0.00%,3192,133,24,0.00%,32,2,16,0.03%,67344,2806,24
com.intellij.util.ui.components.BorderLayoutPanel,0.00%,2576,7,368,0.00%,4136,11,376,0.00%,1840,5,368
com.intellij.ide.util.treeView.NodeRenderer,0.00%,2496,6,416,0.00%,2400,6,400,0.00%,2496,6,416
com.intellij.openapi.components.OldComponentConfig[],0.00%,2104,51,41,0.00%,2104,49,42,0.00%,2160,52,41
com.intellij.ui.tabs.impl.TabLabel$4,0.00%,1632,4,408,0.00%,1568,4,392,0.00%,1224,3,408
com.intellij.util.ui.AsyncProcessIcon,0.00%,1536,4,384,0.00%,1128,3,376,0.00%,768,2,384
com.intellij.concurrency.ConcurrentHashMap$Node[],0.00%,1376,6,229,0.00%,1520,7,217,0.00%,1376,6,229
com.intellij.openapi.editor.impl.EditorGutterComponentImpl,0.00%,1296,3,432,0.00%,1320,3,440,0.00%,864,2,432
com.intellij.openapi.roots.impl.DirectoryInfoImpl,0.00%,1200,30,40,0.00%,1440,30,48,0.00%,1240,31,40
com.intellij.execution.ui.layout.impl.JBRunnerTabs,0.00%,1152,2,576,0.00%,1136,2,568,0.00%,576,1,576
com.intellij.util.lang.FileLoader,0.00%,1120,35,32,0.00%,1520,38,40,0.00%,1120,35,32
com.intellij.openapi.editor.impl.RangeMarkerTree,0.00%,1064,19,56,0.00%,672,14,48,0.00%,4368,78,56
com.intellij.openapi.extensions.impl.ExtensionPointImpl$ObjectComponentAdapter,0.00%,1008,21,48,0.00%,3976,71,56,0.00%,1056,22,48
com.intellij.ui.CommonActionsPanel$MyActionButton,0.00%,952,17,56,0.00%,816,17,48,0.00%,112,2,56
com.intellij.openapi.vcs.changes.shelf.ShelvedChangesViewManager$ShelfTreeCellRenderer,0.00%,848,2,424,0.00%,816,2,408,0.00%,848,2,424
com.intellij.ide.actions.SearchEverywhereAction$1,0.00%,752,2,376,0.00%,784,2,392,0.00%,752,2,376
com.intellij.execution.runners.ExecutionUtil$2,0.00%,744,31,24,0.00%,96,3,32,0.00%,336,14,24
com.intellij.ide.ui.laf.darcula.ui.DarculaTabbedPaneUI,0.00%,736,4,184,0.00%,800,4,200,0.00%,552,3,184
com.intellij.openapi.wm.impl.ToolWindowHeader$5,0.00%,672,21,32,0.00%,552,23,24,0.00%,704,22,32
com.intellij.openapi.wm.impl.ToolWindowHeader$4,0.00%,672,21,32,0.00%,552,23,24,0.00%,704,22,32
com.intellij.openapi.editor.impl.RangeHighlighterTree,0.00%,672,12,56,0.00%,576,12,48,0.00%,560,10,56
com.intellij.openapi.wm.impl.ToolWindowHeader$2,0.00%,672,21,32,0.00%,552,23,24,0.00%,704,22,32
com.intellij.openapi.wm.impl.content.TabContentLayout$1,0.00%,672,21,32,0.00%,552,23,24,0.00%,704,22,32
com.intellij.ui.popup.MovablePopup,0.00%,640,16,40,0.00%,816,17,48,0.00%,360,9,40
com.intellij.execution.configurations.ConfigurationFactory[],0.00%,616,26,23,0.00%,1344,56,24,0.00%,592,25,23
com.intellij.execution.runners.ProgramRunner[],0.00%,544,4,136,0.00%,144,1,144,0.00%,680,5,136
com.intellij.uiDesigner.componentTree.ComponentTree,0.00%,512,1,512,0.00%,520,1,520,0.00%,512,1,512
com.intellij.openapi.wm.impl.status.MemoryUsagePanel,0.00%,488,1,488,0.00%,496,1,496,0.00%,488,1,488
com.intellij.openapi.wm.impl.IdeFrameImpl,0.00%,480,1,480,0.00%,488,1,488,0.00%,480,1,480
com.intellij.openapi.vcs.changes.ui.ChangesListView,0.00%,472,1,472,0.00%,504,1,504,0.00%,472,1,472
com.intellij.openapi.vcs.changes.shelf.ShelvedChangesViewManager$ShelfTree,0.00%,464,1,464,0.00%,472,1,472,0.00%,464,1,464
com.intellij.ide.navigationToolbar.NavBarItem,0.00%,440,1,440,0.00%,848,2,424,0.00%,2640,6,440
com.intellij.openapi.vcs.changes.ui.ChangesBrowserNodeRenderer,0.00%,432,1,432,0.00%,424,1,424,0.00%,432,1,432
com.intellij.openapi.wm.impl.ToolWindowsPane,0.00%,424,1,424,0.00%,416,1,416,0.00%,424,1,424
com.intellij.designer.propertyTable.PropertyTable$PropertyCellRenderer$1,0.00%,424,1,424,0.00%,408,1,408,0.00%,424,1,424
com.intellij.openapi.wm.impl.IdeRootPane,0.00%,424,1,424,0.00%,416,1,416,0.00%,424,1,424
com.intellij.uiDesigner.propertyInspector.PropertyInspectorTable$MyCompositeTableCellRenderer$2,0.00%,416,1,416,0.00%,400,1,400,0.00%,416,1,416
com.intellij.designer.componentTree.ComponentTree$3,0.00%,416,1,416,0.00%,408,1,408,0.00%,416,1,416
com.intellij.ide.projectView.impl.ProjectViewTree$1,0.00%,416,1,416,0.00%,408,1,408,0.00%,416,1,416
com.intellij.openapi.wm.impl.IdeMenuBar,0.00%,416,1,416,0.00%,424,1,424,0.00%,416,1,416
com.intellij.uiDesigner.componentTree.ComponentTree$MyTreeCellRenderer,0.00%,416,1,416,0.00%,408,1,408,0.00%,416,1,416
com.intellij.designer.propertyTable.PropertyTable$PropertyCellRenderer$MyCellRenderer,0.00%,416,1,416,0.00%,400,1,400,0.00%,416,1,416
com.intellij.uiDesigner.propertyInspector.PropertyInspectorTable$MyCompositeTableCellRenderer$1,0.00%,416,1,416,0.00%,400,1,400,0.00%,416,1,416
com.intellij.ui.treeStructure.Tree$1,0.00%,392,7,56,0.00%,448,7,64,0.00%,336,6,56
com.intellij.openapi.wm.impl.status.EncodingPanel$1,0.00%,376,1,376,0.00%,16,1,16,0.00%,376,1,376
com.intellij.ide.ui.UISettings,0.00%,304,1,304,0.00%,64,1,64,0.00%,304,1,304
com.intellij.ide.projectView.impl.nodes.ExternalLibrariesNode,0.00%,288,3,96,0.00%,88,1,88,0.00%,96,1,96
com.intellij.ide.projectView.impl.nodes.NamedLibraryElementNode,0.00%,288,3,96,0.00%,88,1,88,0.00%,96,1,96
com.intellij.sql.formatter.settings.SqlCodeStyleSettings,0.00%,288,2,144,0.00%,1320,3,440,0.00%,432,3,144
com.intellij.ui.table.JBTable$1,0.00%,280,5,56,0.00%,320,5,64,0.00%,168,3,56
com.intellij.ide.util.treeView.TreeState$PathElement[],0.00%,264,9,29,0.00%,24,1,24,0.00%,88,3,29
com.intellij.ide.ui.search.BooleanOptionDescription[],0.00%,256,7,36,0.00%,248,7,35,0.00%,256,7,36
com.intellij.openapi.vcs.VcsConfiguration,0.00%,240,2,120,0.00%,128,1,128,0.00%,120,1,120
com.intellij.psi.impl.source.PsiPlainTextFileImpl,0.00%,216,3,72,0.00%,64,1,64,0.00%,72,1,72
com.intellij.lang.javascript.buildTools.npm.rc.NpmCommand[],0.00%,216,1,216,0.00%,224,1,224,0.00%,216,1,216
com.intellij.psi.JavaResolveResult[],0.00%,208,9,23,0.00%,160,7,22,0.03%,52336,2181,23
org.intellij.lang.regexp.RegExpCapability[],0.00%,208,2,104,0.00%,224,2,112,0.00%,208,2,104
com.intellij.framework.FrameworkTypeEx[],0.00%,200,1,200,0.00%,192,1,192,0.00%,200,1,200
com.intellij.openapi.editor.impl.view.TextLayoutCache$1,0.00%,192,3,64,0.00%,32,2,16,0.00%,128,2,64
com.intellij.ui.components.JBPanelWithEmptyText$1,0.00%,168,3,56,0.00%,256,4,64,0.00%,336,6,56
com.intellij.codeInsight.daemon.ImplicitUsageProvider[],0.00%,168,1,168,0.00%,192,1,192,0.00%,336,2,168
